973,WHICH
974,WHIP
975,WHO
976,WHY
977,WIDE
978,WIFE
979,WIN
980,WINDOW
981,WITH
982,WOMAN
983,WONDER
984,WOOD
985,WORD
986,WORK
987,WORKOUT
988,WORLD
989,WORRY
990,WORSE
991,WORTH
992,WOW
993,WOW/AWFUL
994,WRITE
995,WRONG
996,YEAR
997,YES
998,YESTERDAY
999,YOUNG
