Index,Gloss
292,COCHLEARIMPLANT
293,COLD
294,COLLAR
295,COLLEGE
296,COLOR
297,COME
298,COMEON
299,COMMUNICATE
300,COMMUTE
301,COMPARE
302,COMPETITION
303,COMPUTER
304,COMPUTER5
305,CONCEPT
306,CONFIDENT
307,CONFLICT/INTERSECTION
308,CONFRONT
309,CONTACT
310,CONTINUE
311,COOK/KITCHEN
312,COOKIE
313,COOL
314,COOPERATE/UNITE
315,COP
316,CORRECT
317,COUGH
318,COUNTRY
319,COURSE
320,COURT
321,COUSIN
322,COW
323,CRACK
324,CRASH
325,CRAZY
326,CREATE/PRETEND
327,CRISIS
328,CROWDED
329,CRY
330,CUEDSPEECH
331,CULTURE
332,CUP
333,CURIOUS
334,CURRENTTOPIC
335,Clet'ssee
336,D
337,DANCE
338,DANGER
339,DATE/DESSERT
340,DAUGHTER
341,DAY
342,DCL1Bobapproachingher
343,DCL1brideandgroommeet
344,DCL1envelope
345,DCL1pointandpee
346,DCL1pointandshoot
347,DCL1pointtopopcornbucket
348,DCL1twopeopleapproachingeachother
349,DCL25missingpage
350,DCL4manypeoplelookatme
351,DCL4manypeoplelookatthem
352,DCL4manypeoplestaring
353,DCL4peoplegatheringinacircle
354,DCL4peopletanning
355,DCL5CLnailsonachalkboard
356,DCL5Ceyesfallingout
357,DCL5Cshufflearoundkernalsinpopcornbucket
358,DCL5backeduptraffic
359,DCL5bubblescoveringtoiletbowl
360,DCL5coverupbothnoises
361,DCL5crowdoffans
362,DCL5emitwaste
363,DCL5emitwasteloudly
364,DCL5emitwastequietly
365,DCL5extremelyembarrassed
366,DCL5gatheringinformation
367,DCL5gentlyemitwaste
368,DCL5hairdyedallover
369,DCL5longhair
370,DCL5persongrowingup
371,DCL5roughhouse
372,DCL5tooloud
373,DCL5waterrunning
374,DCL5waterrunningdownsideoftoiletbowl
375,DCL5waterrunningintoiletbowl
376,DCLAopenandclosedrawer
377,DCLAtearopenenvelope
378,DCLAtearopenenvelopeslowly
379,DCLAtearopenfast
380,DCLBLabovetherange
381,DCLBLfillbucket
382,DCLBLlickenvelope
383,DCLBLlonghair
384,DCLBLovergoingwiththerange
385,DCLBLrublotion
386,DCLBLstackofbooks
387,DCLBdifferentsidedpath
388,DCLBpathwayoforientation
389,DCLBpathwayofsignlanguage
390,DCLCcloudsmovingin
391,DCLCgrabpopcornbucket
392,DCLCgroupgotogether
393,DCLClogs
394,DCLCtryingtobreathe
395,DCLCventriloquistdoll
396,DCLF/9holesonpaper
397,DCLF/9peelstyrofoamcup
398,DCLG/Qcircularbracelet
399,DCLG/Qeatsushi
400,DCLILYflyingbackandforth
401,DCLLXdisc
402,DCLMhumming
403,DCLObeadsallover
404,DCLOlittlebeads
405,DCLS5firestarting
406,DCLS5throwfishinbucket
407,DCLS5throwoutofplane
408,DCLSclangingthings
409,DCLSclankingthings
410,DCLSheavylifting
411,DCLSstronghorse
412,DCLU/Hgrouplayingdowntotan
413,DCLU/Hhorsegalloping
414,DCLULcowrunning
415,DCLULhorserunning
416,DCLV/2horserunning
417,DCLXoverthumbtiphat
418,DCLXskiingbackandforth
419,DCLbabyOwriteonchalkboard
420,DCLbabyOwritingonthetest
421,DCLbent1lengthoftime
422,DCLbent1switchtothispathway
423,DCLbent1thispathway
424,DCLbentBLaboveandbelowthevoicerange
425,DCLbentBLcloseenvelope
426,DCLbentBLemitwaste
427,DCLbentBapplyinglotion
428,DCLbentBcurveoftoiletbowl
429,DCLblinkinglightsonshoes
430,DCLcockedSclangingthings
431,DCLcrvd5cloudscoming
432,DCLcrvd5cloudsmovingin
433,DCLcrvd5givepackage
434,DCLcrvd5groupgotogether
435,DCLcrvd5gruntingvoices
436,DCLcrvd5listofalphabet
437,DCLcrvd5nasal
438,DCLcrvd5noisesintheair
439,DCLcrvd5reachintobucketofpopcorn
440,DCLcrvd5reachintobucketofpopcorn/eatpopcorn
441,DCLcrvd5twopeoplefighting
442,DCLcrvdBaboveorbelowvoicerange
443,DCLcrvdBabovethevoicerange
444,DCLcrvdBbucket
445,DCLcrvdBcurveofthetoiletbowl
446,DCLcrvdBsmallpuppies
447,DCLcrvdLbagel
448,DCLcrvdVsitontoilet
449,DCLcrvdVsittingdown
450,DCLcrvdVswitchseats
451,DCLcrvdbsizeofbear
452,DCLcrvdsprdBmakingbubbles
453,DCLdescribingtheland
454,DCLfannedOgrumbling
455,DCLfannedOthroatgrumble
456,DCLfannedOthroatgrunts
457,DCLfannedflatObecomingupset
458,DCLfannedflatOthroat
459,DCLfannedflatOvoiceidentity
460,DCLflatOholdingthetest
461,DCLflatOmovingthetestcloser
462,DCLflatOputitcollectively
463,DCLflatOrippaper
464,DCLflatOrippaperfast
465,DCLflatOrippaperquickly
466,DCLflatOrippaperslowly
467,DCLflattractofland
468,DCLgettest
469,DCLopen8stickypartofenvelope
470,DCLroundflat
471,DCLsmallbox
472,DCLsmlC/3DVD
473,DCLsmlC/3morphemeword
474,DCLswirling
475,DCLtalkingaboutthetest
476,DCLxoverthumbeatwithtwoforks
477,DEAF
478,DEAF2
479,DEAFAPPLAUSE
480,DECIDE
481,DECLINE2
482,DECORATE
483,DEEP
484,DELETE
485,DELIBERATE
486,DELICIOUS
487,DEMOCRAT
488,DEPART
489,DEPRESS
490,DESTROY
491,DEVELOP
492,DIALOG
493,DIE
494,DIFFERENT
495,DINNER
496,DIRECT
497,DISAPPOINT
498,DISCUSS
499,DISGUST
500,DISH
501,DISMISS
502,DISTRIBUTE
503,DO
504,DOCTOR
505,DODO
506,DOG
507,DOIT
508,DOLLAR
509,DOOR
510,DORM
511,DOUBT
512,DOWN
513,DOWNHILL
514,DOpartindef
515,DRESS/CLOTHES
516,DRINK
517,DRIVE
518,DROP
519,DRUGS
520,DRUNK
521,DRYCEREAL
522,DURING/WHILE
523,DYE
524,EACH
525,EACHONE
526,EACHONEplarc
527,EARLY
528,EASY
529,EASYMOST
530,EAT
531,EATMORNING
532,EATNIGHT
533,ECONOMIC
534,ED
535,EIGHT
536,EIGHTYTWO
537,ELEMENTARY
538,EMBARRASS
539,EMERGENCY
540,EMOTION
541,EMPTY/EARLY
542,EMPTY/EARLYMOST
543,EMPTYFROMNOWON
544,ENCOURAGE
545,END
546,ENJOY
547,ENOUGH
548,ENTER
549,ENVIRONMENT
550,EQUAL
551,ESCAPE
552,EVALUATE
553,EVERYDAY
554,EVERYMONTH/RENT
555,EVERYMORNING
556,EVERYONE
557,EVERYYEAR
558,EXACT
559,EXCUSE
560,EXHAUST
561,EXPAND
562,EXPENSIVE
563,EXPERIENCE
564,EXPERIMENT
565,EXPERT
566,EXPRESS
567,EXTENSIVEKNOWLEDGE
568,EYES
569,FACE
570,FACESAME
571,FAIL
572,FALLINLOVE
573,FAMILY
574,FAMOUS
575,FANCY
576,FANS
577,FARM
578,FART
579,FAST
580,FAST3
581,FATHER
582,FAULT
583,FAVORITE/PREFER
584,FEED
585,FEEDBACK3
586,FEEL
587,FEW
588,FEW/CLOSE
589,FIFTEEN
590,FIFTHINLIST
591,FIGHT
592,FILLOUT
593,FINALLY
594,FIND/FINDOUT
595,FIND/FINDOUTOUT
596,FINE
597,FINGERSCROSSED
598,FINGERSPELL
599,FINISH
600,FIRE/BURN
601,FIRED
602,FIREWORKS
603,FIRST
604,FIRSTANDSECONDINLIST
605,FIRSTINLIST
606,FIRSTSECONDTHIRDINLIST
607,FISH
608,FISHING
609,FIVE
610,FIVESIX2
611,FLAT/FLOOR
612,FLAT/LEVEL
613,FLATTIRE
614,FLIPFLOP
615,FLOW
616,FLOWER
617,FLYBYPLANE
618,FOCUS/NARROW
619,FOLLOW
620,FOOTBALL
621,FOR
622,FORFOR
623,FORGET
624,FORGETIT
625,FORK
626,FORMERLY
627,FOURDOLLARS
628,FOURTHINLIST
629,FREE
630,FREQUENTLY
631,FRESH
632,FRESHMAN
633,FRIDAY
634,FRIEND
635,FRISBEE
636,FROM
637,FROMNOWON
638,FUCK
639,FULL
640,FUN
641,FUNNY
642,FUTURE
643,GAME
644,GAMUT
645,GARAGE/SUBMARINE
646,GAS
647,GATE
648,GATHER
649,GENERAL
650,GENERATIONSAGO
651,GESTURE
652,GET
653,GETIN
654,GETTICKET
655,GETUP
656,GHOST
657,GIFT
658,GIRL
659,GIRLCORRECT
660,GIRLFRIEND
661,GIVE
662,GIVEUPfsUP
663,GLASSES2
664,GO
665,GOAL
666,GOBBLEUP
667,GOBYBOAT
668,GOLD/nsCALIFORNIA
669,GOLF
670,GONE
671,GOOD/THANKYOU
672,GOOD/THANKYOUNIGHT
673,GOOUT
674,GRAB
675,GRABCHANCE
676,GRAD
677,GRADUALIMPROVE
678,GRADUATE
679,GRANDMOTHER
680,GRASS
681,GREAT
682,GRIEF
683,GROUP
684,GROUP/TOGETHER
685,GROW
686,GROWUP
687,GRUNT
688,GUARANTEE
689,GUILTY
690,GUITAR
691,GYM
692,HABIT
693,HADIT
694,HAIR
695,HAIR2DYE
696,HAIRDYE
697,HALL
698,HAMBURGER
699,HANDSOME/nsHAWAII2
700,HANGUPPHONE
701,HAPPEN
702,HAPPY
703,HARD
704,HATE
705,HAVE
706,HEADBAND
707,HEADBAND2
708,HEAR
709,HEAR/LISTEN
710,HEARING
711,HEARINGPERSON
712,HEARNOISE
713,HEARRUMBLE
714,HEAVY
715,HEIGHT2
716,HELP
717,HERE
718,HIGH
719,HISTORY
720,HIT
721,HOME
722,HOMEWORK
723,HONEST
724,HONOR
725,HOPE
726,HORSE
727,HOSPITAL
728,HOT
729,HOUSE
730,HOW
731,HOWMANY
732,HS
733,HUNGRY/WISH
734,HURRICANE
735,HURRY
736,HUSBAND
737,ICECREAM
738,ICLAusingkey
739,ICLBLapplyingsuncreen
740,ICLBLbringoverbucket
741,ICLBLflippages
742,ICLCtalkingdoll
743,ICLF/9flippages
744,ICLF/9holdpageofabook
745,ICLF/9quicklyflippages
746,ICLF/9slowlyflippages
747,ICLSheavylifting
748,ICLSswingingtennisraquet
749,ICLSwashcar
750,ICLSwashingcar
751,ICLXspraysillystring
752,ICLXusespraycans
753,ICLbabyOwritingonthetest
754,ICLcrvdBmovebucket
755,ICLflatOholdingmoney
756,ICLopeningcan
757,ICLswordfight
758,ICLtightCeatingsandwich
759,ICLtightCsqueezelotion
760,ICLxoverthumbeating
761,ICLxoverthumbeatingoutofabowl
762,IDEA
763,IDENTIFY
764,IF
765,IGNITIONON
766,ILLEGAL
767,IMAGINE
768,IMPORTANT
769,IMPOSSIBLE
770,IN
771,INCLUDE/INVOLVE
772,INCREASE
773,INDIVIDUAL
774,INFORM
775,INFORMSUBLIMINALINFLUENCE
776,INFREQUENTLY
777,INHALE
778,INNOCENT
779,INSPIRE
780,INSTITUTE
781,INSURANCE/INFECTION
782,INTERCOURSEfsUP
783,INTERESTING
784,INTERNATIONAL
785,INTERNET
786,INTERPRET
787,INTERPRETAGENT
788,INTERRUPT
789,INTERVIEW
790,INTRODUCE
791,INVITE/HIRE
792,IX
793,IX1p
794,IX1ppl
795,IX1ppl2
796,IXhonorific
797,IXpl
798,IXpl2
799,Idon'tknow
800,JOB
801,JOIN
802,JUICE
803,JULY
804,JUNIOR3
805,KEEP
806,KEY
807,KICKOFF
808,KICKOUT
809,KID
810,KIND
811,KING
812,KISSFIST
813,KITCHEN
814,KNOW
815,KNOWNEG
816,KNOWNOTHING
817,KNOWTHAT
818,KOWTOW
819,LANGUAGE
820,LAPTOP
821,LAST
822,LASTWEEK
823,LASTYEAR
824,LATE
825,LATER2
826,LAUGH
827,LAUGHHARD
828,LAZY
829,LCL1dressoverthere
830,LCL1overthere
831,LCL1walkaroundthehallway
832,LCL3parkedcar
833,LCL5Cthreecomputersnexttoeachother
834,LCLBLskyupthere
835,LCLBnexthallwayover
836,LCLBpathway
837,LCLbentBxdswallowfish
838,LCLcrvdV/2personsitnexttome
839,LEARN
840,LEARNAGENT
841,LEAVE
842,LEAVETHERE
843,LECTURE
844,LEMON
845,LEND
846,LESS
847,LESSTHAN
848,LETTER/MAIL
849,LIBRARY
850,LICENSE
851,LIE
852,LIEDOWN
853,LIGHT
854,LIGHTFLASH
855,LIGHTMATCH
856,LIKE
857,LINE
858,LINGUISTICS
859,LIST
860,LISTORDER
861,LISTORDER2
862,LISTORDER3
863,LISTORDERIX
864,LISTORDERMIDDLE
865,LISTORDERPINKY
866,LISTORDERRING
867,LISTORDERTHUMB
868,LITTLEBIT
869,LIVE
870,LIdon'tknow
871,LOCAL
872,LOCK
873,LONG
874,LONGAGO
875,LONGLIST
876,LONGLIST2
877,LONGMOST
878,LONGPAST
879,LOOK
880,LOOKBYEYE
881,LOSE
882,LOSECOMPETITION
883,LOSECOMPETITIONPCLV/2manygames
884,LOTION
885,LOUD
886,LOUSY
887,LOVE
888,LOWERCASE/TINY
889,LUCKY
890,LXIdon'tknow
891,Lso
892,Lwell
893,Lyousee
894,MACHINE
895,MAD
896,MAGAZINE
897,MAJOR
898,MAKE
899,MAKEREALLY
900,MALECOUSIN
901,MAN
902,MAN2
903,MANAGE/CONTROL
904,MANAGE/CONTROLAGENT
905,MANIPULATE
906,MANY
907,MARRY
908,MATCH
909,MATH
910,MAYBE
911,MEAN
912,MEAT
913,MEDICINE
914,MEET
915,MEETING
916,MELON/PUMPKIN
917,MELT/SOLVE
918,MEMBER
919,MEMORIZE
920,MESSEDUP
921,MICROPHONE
922,MIDDLE
923,MIDNIGHT
924,MILK
925,MIND
926,MINOR
927,MINUTE
928,MISMATCH
929,MISS/ASSUME
930,MISTAKE
931,MISUNDERSTAND
932,MONDAY
933,MONEY
934,MONEY2
935,MONSTER
936,MORE
937,MORETHAN
938,MORMON
939,MORNING
940,MOST
941,MOSTSKILLED
942,MOTHER
943,MOTHERFATHER
944,MOTIVATE
945,MOUSE/FICTION
946,MOVE
947,MOVEAROUND
948,MOVEAWAY
949,MOVIE
950,MOVINGONTONEXTTOPIC
951,MOW
952,MUSIC
953,MUST
954,MUTE
955,MYSTERY
956,N
957,NAB
958,NAME
959,NARROWSTREET
960,NEAR
961,NEAT
962,NEGATIVE
963,NEGLECT
964,NEPHEW
965,NEVER
966,NEW
967,NEXT
968,NEXTGROUP
969,NEXTTO
970,NEXTTOPIC
971,NEXTWEEK
972,NICE/CLEAN
973,NIGHT
974,NINE
975,NINETEEN
976,NINETEEN2NINETYNINE
977,NO
978,NOGOOD
979,NOISE
980,NOISERUMBLE
981,NOMORE
982,NONE
983,NONE/NOTHING
984,NONE/NOTHINGONE
985,NORTH
986,NOSE
987,NOT
988,NOTCARE
989,NOTHING
990,NOTHINGATALL
991,NOTICE
992,NOTMIND
993,NOTMUST
994,NOTYET
995,NOW
996,NOWAFTERNOON
997,NOWAFTERNOON2
998,NOWMORNING
999,NOWNIGHT
1000,NOWWEEK
1001,NUMBER
1002,NURSE
1003,NUT
1004,NUTBUTTER
1005,OCEAN
1006,OFCOURSE
1007,OFF
1008,OFFICE
1009,OFFPOINT
1010,OFTEN
1011,OHISEE
1012,OK
1013,OLD
1014,OLDAGESIXHALF
1015,OLDNINE
1016,ON
1017,ONE
1018,ONEDOLLAR
1019,ONEHOUR
1020,ONEHUNDRED
1021,ONEMONTH
1022,ONEMORE
1023,ONEWEEK
1024,ONLY
1025,ONTIME
1026,OPEN
1027,OPPORTUNITY
1028,OPPOSITE
1029,OPPRESS
1030,OPTION
1031,OR
1032,ORANGE
1033,ORDER
1034,ORGANIZATION
1035,ORGANIZE
1036,OTHER
1037,OUT
1038,OVER/AFTER
1039,OVER/AFTERSCHOOL
1040,OVERIT
1041,OVERSLEEP
1042,OWN
1043,PACK
1044,PADDLE/CANOE
1045,PAINT
1046,PANTS2
1047,PAPER
1048,PAPERCHECK/CARD
1049,PARALLEL
1050,PARK
1051,PARTY
1052,PASS
1053,PASSOUT
1054,PAST
1055,PASTALLNIGHT
1056,PASTNIGHT
1057,PAY
1058,PAY/BUY
1059,PAY/SPEND
1060,PCL4largegroupincircle
1061,PCL4studentsgotoNTID
1062,PCL5comingin
1063,PCL5longlineofcars
1064,PCL5manystudies
1065,PCL5peoplemovingaround
1066,PCL5studentssitinanarc
1067,PCLV/2peoplewalking
1068,PCLcrvd5peopleshocked/stare
1069,PCLcrvd5peoplestaring
1070,PCLpeoplesitandstare
1071,PEOPLE
1072,PERMIT
1073,PERSON
1074,PERSONALITY
1075,PET/SPOILED
1076,PETPEEVE
1077,PHONE
1078,PHYSICS
1079,PICK/CHOOSE
1080,PICTURE
1081,PIE
1082,PIG
1083,PINEAPPLE
1084,PINGPONG/TENNIS
1085,PISSOFF
1086,PITCH
1087,PIZZA4
1088,PLACE
1089,PLAID
1090,PLAN
1091,PLAY
1092,PLAYAGENT
1093,PLUS
1094,PO
1095,POINT
1096,POINTTO
1097,POLITE
1098,POLITICS
1099,PONDER
1100,POPCORN
1101,POPUP
1102,POSS
1103,POSS1p
1104,POSS1ppl
1105,POSSpl
1106,POSSpl2
1107,POSSpl3
1108,POSTER
1109,POSTPONE
1110,POUND/WEIGH
1111,POWER
1112,POWERFUL
1113,PRACTICE
1114,PRESIDENT
1115,PREVENT
1116,PRICE
1117,PRINCE
1118,PRINCIPAL
1119,PROBLEM
1120,PROCEED
1121,PROCEED2
1122,PROFESSION
1123,PROGRESS
1124,PROJECT
1125,PROPORTION
1126,PROVE
1127,PULL
1128,PUNCH
1129,PUNISH
1130,PURPLE
1131,PUT
1132,PUTAWAY
1133,QMwg
1134,QUALITY
1135,QUESTION
1136,QUIET
1137,QUIT
1138,QUIZ
1139,QUOTE/TOPIC
1140,RAIN
1141,RAKE
1142,RANGE
1143,RANGE/SPAN
1144,READ
1145,READY
1146,REALLY
1147,REALLYWORK
1148,REALLYWORK/BUSINESS
1149,REASON
1150,RECENTPAST
1151,RECORD
1152,RED
1153,REFER
1154,REFLECT
1155,REFUSE
1156,REGULAR
1157,RELATIONSHIP
1158,RELATIONSHIPOFF
1159,REMEMBER
1160,REMIND
1161,REMIND2p
1162,REMOTE
1163,REPAIR
1164,REPLACE
1165,REPORT
1166,REPUBLICAN
1167,REQUEST
1168,REQUIRE
1169,RESEARCH
1170,RESPONSIBILITY
1171,REST
1172,RESTAURANT
1173,RESUME
1174,RETIRE
1175,ROAD
1176,ROLE
1177,ROLLONFLOORLAUGHING
1178,ROOMMATE
1179,ROWING
1180,RUIN
1181,RULE
1182,RUN
1183,RUNMACHINE
1184,RUNOUT
1185,SAD
1186,SAFE
1187,SALE
1188,SAME
1189,SAMELIST
1190,SAMEOLD
1191,SAMETIME
1192,SANDWICH4
1193,SATISFIED
1194,SAVE
1195,SAVEMONEY
1196,SAY
1197,SCHEDULE
1198,SCHOOL
1199,SCL1Bobmeetshisgirlfriend
1200,SCL1JohnandMarywalktogether
1201,SCL1cameback
1202,SCL1describinganarrowroad
1203,SCL1mentorcomingin
1204,SCL1mentorsupportingfamily
1205,SCL1mousescurries
1206,SCL1onepersonapproachinganother
1207,SCL1personapproaching
1208,SCL1personcoming
1209,SCL1teacherwalkingover
1210,SCL1throwfishinbucket
1211,SCL3bigcar
1212,SCL3bikecrashing
1213,SCL3falloffbike
1214,SCL3peoplestaring
1215,SCL3personpassedout
1216,SCL3personwalking
1217,SCL5Cbighouse
1218,SCL5deflatedtire
1219,SCL5footballplayerswrestling
1220,SCLBLdeafperson
1221,SCLCcloudsrollingin
1222,SCLCdollpersonality
1223,SCLCgroupgotogether
1224,SCLP/Kforkontable
1225,SCLShorsegalloping
1226,SCLULpersonpassedout
1227,SCLULpersonwalking
1228,SCLV/2horsegalloping
1229,SCLV/2horsesrunning
1230,SCLV/2lookaroundandaround
1231,SCLV/2lookdown
1232,SCLV/2lookmeupanddown
1233,SCLV/2lookupanddown
1234,SCLV/2peopletanning
1235,SCLV/2personflipsoff
1236,SCLV/2personrollingaround
1237,SCLV/2personslidingofftube
1238,SCLV/2running
1239,SCLV/2twoofthemgotogether
1240,SCLV/2twopeoplecoming
1241,SCLVpersonlevitating
1242,SCLXcatchfish
1243,SCLXmanwalking
1244,SCLbentBflatland
1245,SCLbentULpersonwalking
1246,SCLbentVsitdown
1247,SCLcrvd5groupgotogether
1248,SCLcrvdUlayingonside
1249,SCLcrvdVcatchasesmouse
1250,SCLcrvdVcatjumpsupontothetable
1251,SCLcrvdVhorsegalloping
1252,SCLcrvdVtwopeopleontandembicycle
1253,SCLpersonpassedout
1254,SCLsmlC/3recieveDVD
1255,SCRAPE
1256,SCRATCH
1257,SCREAM
1258,SCREEN/FILTER
1259,SCRIMMAGE
1260,SEARCHFOR
1261,SECOND
1262,SECONDINLIST
1263,SEE
1264,SEEM
1265,SEESEE
1266,SELF
1267,SELF1p
1268,SELFpl
1269,SELL
1270,SEMESTER
1271,SEND
1272,SEND/MAIL
1273,SENIOR
1274,SENTENCE
1275,SEPARATE
1276,SEPT
1277,SERIOUS
1278,SERVICE
1279,SETUP
1280,SEVEN
1281,SEVENTH
1282,SEVENTYFIVE
1283,SHEETCAKE
1284,SHH
1285,SHINE2
1286,SHOE
1287,SHORTHEIGHT
1288,SHORTS
1289,SHOULD
1290,SHOW
1291,SHUCKS
1292,SHUT
1293,SICK
1294,SICK/SILLY
1295,SICKOF
1296,SIGN
1297,SILLY
1298,SISTER
1299,SIT
1300,SITUATION
1301,SIX
1302,SIX2ZERO3
1303,SIXHALF
1304,SIXTY
1305,SKI
1306,SKILL
1307,SLEEP
1308,SLOW
1309,SMALL
1310,SMALLAMOUNT
1311,SMILE
1312,SMIRK
1313,SMOOTH
1314,SNOB
1315,SNOW
1316,SO
1317,SOCIAL/INTERACT
1318,SOCIALWORK
1319,SOME
1320,SOMEONE
1321,SOMETHING/ONE
1322,SOMETIMES
1323,SON
1324,SOON
1325,SORRY
1326,SOSO
1327,SOUP
1328,SOUTH
1329,SPAGHETTI
1330,SPECIAL/EXCEPT
1331,SPECIALTY
1332,SPECIALTYAGENT
1333,SPECIFIC
1334,SPEECH
1335,SPEECH/ORAL
1336,SPELL
1337,SPEND
1338,SPREAD
1339,SPRING
1340,STAMP
1341,STAND
1342,STAR
1343,STARBOMB
1344,START
1345,STAY
1346,STEAL
1347,STICKONSURFACE
1348,STICKONTHROAT
1349,STICKY
1350,STILL
1351,STOP
1352,STORY
1353,STRAIGHT
1354,STRANGE
1355,STRING
1356,STRIPES
1357,STRONG
1358,STRUGGLE
1359,STUCK
1360,STUDENT
1361,STUDY
1362,SUBLIMINALINFLUENCE
1363,SUBTRACT
1364,SUCCEED
1365,SUE
1366,SUFFER
