Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
901,AGREE,AGREE,AGREE,1894,2018,1944,1968,1,1,1,1,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,AGREE
902,AGREE,AGREE,AGREE,2226,2365,2276,2315,1,1,1,1,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,AGREE
41024,THINK+AGREE,THINK+AGREE,THINK+AGREE,606,750,656,700,1,,1,1,ASL_2008_01_11_scene10-camera1.mov,Compound Signs,AGREE
912,AIRPLANE,AIRPLANE,AIRPLANE+,1530,1675,1580,1625,I-L-Y,,I-L-Y,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov,Lexical Signs,AIRPLANE
913,AIRPLANE,AIRPLANE,AIRPLANE+,1525,1655,1575,1605,I-L-Y,,I-L-Y,,ASL_2008_01_11_scene10-camera1.mov,Lexical Signs,AIRPLANE
915,AIRPLANE,AIRPLANE,AIRPLANE+,223,355,273,305,I-L-Y,,I-L-Y,,ASL_2008_08_04_scene8-camera1.mov,Lexical Signs,AIRPLANE
916,AIRPLANE,AIRPLANE,AIRPLANE+,1180,1303,1230,1253,I-L-Y,,I-L-Y,,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AIRPLANE
917,AIRPLANE,AIRPLANE,AIRPLANE+,1745,1871,1795,1821,I-L-Y,,I-L-Y,,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,AIRPLANE
918,AIRPLANE,AIRPLANE,AIRPLANE+,2078,2217,2128,2167,I-L-Y,,I-L-Y,,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,AIRPLANE
207655,AIRPLANE,AIRPLANE,AIRPLANE+,1434,1561,1484,1511,bent-L,,bent-L,,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AIRPLANE
914,AIRPLANE,AIRPLANE,AIRPLANE++,277,412,327,362,I-L-Y,,I-L-Y,,ASL_2008_05_12a_scene9-camera1.mov,Lexical Signs,AIRPLANE
919,ALARM,ALARM,ALARM+,1725,1855,1775,1805,1,B-L,1,B-L,ASL_2008_01_11_scene10-camera1.mov,Lexical Signs,ALARM
920,ALARM,ALARM,ALARM+,1443,1575,1493,1525,D,B-L,D,B-L,ASL_2008_08_04_scene26-camera1.mov,Lexical Signs,ALARM
921,ALARM,ALARM,ALARM++,487,625,537,575,1,B-L,1,B-L,ASL_2008_05_12a_scene9-camera1.mov,Lexical Signs,ALARM
922,ALARM,ALARM,ALARM++,428,577,478,527,1,B-L,1,B-L,ASL_2008_08_04_scene8-camera1.mov,Lexical Signs,ALARM
923,ALARM,ALARM,ALARM++,1716,1842,1766,1792,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALARM
924,ALARM,ALARM,ALARM+++,1231,1382,1281,1332,1,B-L,1,B-L,ASL_2008_05_12a_scene25-camera1.mov,Lexical Signs,ALARM
957,ALLERGY,ALLERGY,ALLERGY,8940,9054,8990,9004,1,1,1,1,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALLERGY
40569,NOSE+OPPOSITE,NOSE+OPPOSITE,NOSE+OPPOSITE,724,893,774,843,1,,bent-1,bent-1,ASL_2010_08_10_Liz_additional_lexicon_signs_scene6-camera1.mov,Compound Signs,ALLERGY
1011,ANIMAL,ANIMAL,ANIMAL+,1415,1560,1465,1510,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_01_11_scene14-camera1.mov,Lexical Signs,ANIMAL
1012,ANIMAL,ANIMAL,ANIMAL+,2235,2365,2285,2315,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_08_04_scene10-camera1.mov,Lexical Signs,ANIMAL
1013,ANIMAL,ANIMAL,ANIMAL++,1915,2067,1965,2017,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2008_05_12a_scene11-camera1.mov,Lexical Signs,ANIMAL
1014,ANIMAL,ANIMAL,ANIMAL++,11513,11647,11563,11597,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ANIMAL
1015,ANNOUNCE,ANNOUNCE,ANNOUNCE,2161,2290,2211,2240,1,1,1,1,ASL_2008_05_12a_scene11-camera1.mov,Lexical Signs,ANNOUNCE
1016,ANNOUNCE,ANNOUNCE,ANNOUNCE,2560,2692,2610,2642,1,1,1,1,ASL_2008_08_04_scene10-camera1.mov,Lexical Signs,ANNOUNCE
1018,ANNOUNCE,ANNOUNCE,ANNOUNCE,130,247,180,197,1,1,1,1,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,ANNOUNCE
1017,ANNOUNCE,ANNOUNCE_2,ANNOUNCE_2,270,400,320,350,1,1,1,1,ASL_2008_01_11_scene15-camera1.mov,Lexical Signs,ANNOUNCE
1019,ANSWER,ANSWER,ANSWER,805,929,855,879,1,1,1,1,ASL_2008_01_11_scene15-camera1.mov,Lexical Signs,ANSWER
1020,ANSWER,ANSWER,ANSWER,590,729,640,679,1,1,1,1,ASL_2008_02_29_scene11-camera1.mov,Lexical Signs,ANSWER
1021,ANSWER,ANSWER,ANSWER,2595,2708,2645,2658,1,1,1,1,ASL_2008_05_12a_scene11-camera1.mov,Lexical Signs,ANSWER
1022,ANSWER,ANSWER,ANSWER,2992,3110,3042,3060,1,1,1,1,ASL_2008_08_04_scene10-camera1.mov,Lexical Signs,ANSWER
1023,ANSWER,ANSWER,ANSWER,1660,1772,1710,1722,1,1,1,1,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,ANSWER
1024,ANSWER,ANSWER,ANSWER,18845,18961,18895,18911,1,1,1,1,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,ANSWER
1026,ANSWER,ANSWER,ANSWER,78,196,128,146,1,1,1,1,ASL_2011_07_19_Brady_scene56-camera1.mov,Lexical Signs,ANSWER
1027,ANSWER,ANSWER,ANSWER,386,500,436,450,1,1,1,1,ASL_2011_07_19_Brady_scene56-camera1.mov,Lexical Signs,ANSWER
1028,ANSWER,ANSWER,ANSWER,2580,2697,2630,2647,1,1,1,1,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,ANSWER
207658,ANSWER,ANSWER,ANSWER,3012,3136,3062,3086,1,1,1,1,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,ANSWER
1029,ANSWER,ANSWER,ANSWER+,19113,19235,19163,19185,1,1,1,1,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,ANSWER
39347,ANSWER+AGENT,ANSWER+AGENT,ANSWER+AGENT,667,793,717,743,1,1,B-L,B-L,ASL_2011_07_19_Brady_scene56-camera1.mov,Compound Signs,ANSWER+AGENT
1030,ANY,ANY,ANY,1035,1156,1085,1106,A,,A,,ASL_2008_01_11_scene15-camera1.mov,Lexical Signs,ANY
1031,ANY,ANY,ANY,2781,2905,2831,2855,10,,A,,ASL_2008_05_12a_scene11-camera1.mov,Lexical Signs,ANY
1032,ANY,ANY,ANY,3190,3308,3240,3258,A,,A,,ASL_2008_08_04_scene10-camera1.mov,Lexical Signs,ANY
1033,ANY,ANY,ANY,2355,2485,2405,2435,10,,10,,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,ANY
1034,ANY,ANY,ANY,2457,2572,2507,2522,A,,A,,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,ANY
1035,ANY,ANY,ANY,2860,2989,2910,2939,10,,10,,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,ANY
39368,ANY+THING,ANY+THING,ANY+THING,1443,1582,1493,1532,A,,5,,ASL_2008_01_11_scene15-camera1.mov,Compound Signs,ANY+THING
39369,ANY+THING,ANY+THING,ANY+THING,675,800,725,750,A,,5,,ASL_2008_05_12a_scene12-camera1.mov,Compound Signs,ANY+THING
39370,ANY+THING,ANY+THING,ANY+THING,380,505,430,455,A,,B-L,,ASL_2008_08_04_scene12-camera1.mov,Compound Signs,ANY+THING
39371,ANY+THING,ANY+THING,ANY+THING,2385,2511,2435,2461,A,,5,,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,ANY+THING
651,APPLE,(S)APPLE,(S)APPLE,2704,2825,2754,2775,S,,S,,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,APPLE
1050,APPLE,APPLE,APPLE,776,915,826,865,X,,X,,ASL_2008_01_11_scene18-camera1.mov,Lexical Signs,APPLE
1051,APPLE,APPLE,APPLE,2290,2410,2340,2360,X,,X,,ASL_2008_05_12a_scene12-camera1.mov,Lexical Signs,APPLE
1052,APPLE,APPLE,APPLE,1475,1596,1525,1546,X,,X,,ASL_2008_08_04_scene12-camera1.mov,Lexical Signs,APPLE
1053,APPLE,APPLE,APPLE,6348,6459,6398,6409,X,,X,,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,APPLE
1054,APPLE,APPLE,APPLE,3181,3325,3231,3275,X,,X,,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,APPLE
424,APPOINTMENT,(A)APPOINTMENT,(A)APPOINTMENT,1040,1181,1090,1131,A,A,A,A,ASL_2008_01_11_scene19-camera1.mov,Lexical Signs,APPOINTMENT
592,APPOINTMENT,(nd-S)APPOINTMENT,(nd-S)APPOINTMENT,816,980,866,930,crvd-sprd-B,S,S,S,ASL_2008_02_29_scene12-camera1.mov,Lexical Signs,APPOINTMENT
593,APPOINTMENT,(nd-S)APPOINTMENT,(nd-S)APPOINTMENT,8651,8781,8701,8731,crvd-5,S,A,S,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,APPOINTMENT
1065,APPOINTMENT,APPOINTMENT,APPOINTMENT,1256,1395,1306,1345,5,5,A,A,ASL_2008_01_11_scene19-camera1.mov,Lexical Signs,APPOINTMENT
1066,APPOINTMENT,APPOINTMENT,APPOINTMENT,635,782,685,732,5,crvd-flat-B,S,S,ASL_2008_05_12a_scene13-camera1.mov,Lexical Signs,APPOINTMENT
1067,APPOINTMENT,APPOINTMENT,APPOINTMENT,950,1077,1000,1027,5,crvd-5,S,S,ASL_2008_05_12a_scene13-camera1.mov,Lexical Signs,APPOINTMENT
1068,APPOINTMENT,APPOINTMENT,APPOINTMENT,773,900,823,850,5,crvd-5,S,S,ASL_2008_08_04_scene13-camera1.mov,Lexical Signs,APPOINTMENT
1069,APPOINTMENT,APPOINTMENT,APPOINTMENT,1368,1492,1418,1442,crvd-5,crvd-5,S,S,ASL_2008_08_04_scene13-camera1.mov,Lexical Signs,APPOINTMENT
1070,APPOINTMENT,APPOINTMENT,APPOINTMENT,1685,1816,1735,1766,5,5,A,A,ASL_2011_07_22_Brady_scene37-camera1.mov,Lexical Signs,APPOINTMENT
1071,APPOINTMENT,APPOINTMENT,APPOINTMENT,2828,2956,2878,2906,5,crvd-5,S,S,ASL_2006_10_10_scene2-camera1.mov,Lexical Signs,APPOINTMENT
1072,APPOINTMENT,APPOINTMENT,APPOINTMENT,3312,3487,3362,3437,5,5,S,S,ASL_2007_05_24_scene5-camera1.mov,Lexical Signs,APPOINTMENT
1076,ARGUE,ARGUE,ARGUE+,205,360,255,310,1,1,1,1,ASL_2008_02_29_scene4-camera1.mov,Lexical Signs,ARGUE
1077,ARGUE,ARGUE,ARGUE+,2950,3095,3000,3045,1,1,1,1,ASL_2008_05_29a_scene20-camera1.mov,Lexical Signs,ARGUE
1078,ARGUE,ARGUE,ARGUE+,1852,2009,1902,1959,1,1,1,1,ASL_2011_07_19_Brady_scene48-camera1.mov,Lexical Signs,ARGUE
1112,ARTICLE,ARTICLE,ARTICLE,2490,2615,2540,2565,L-X,B-L,L-X,B-L,ASL_2008_08_04_scene14-camera1.mov,Lexical Signs,ARTICLE
1113,ARTICLE,ARTICLE,ARTICLE,3610,3733,3660,3683,L-X,B-L,L-X,B-L,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,ARTICLE
1114,ARTICLE,ARTICLE,ARTICLE,599,719,649,669,crvd-L,B-L,crvd-L,B-L,ASL_2006_10_10_scene3-camera1.mov,Lexical Signs,ARTICLE
207659,ARTICLE,ARTICLE,ARTICLE,530,690,580,640,crvd-L,B-L,crvd-L,B-L,ASL_2007_05_24_scene7-camera1.mov,Lexical Signs,ARTICLE
1115,ARTICLE,ARTICLE,ARTICLE+,2546,2695,2596,2645,crvd-L,B-L,crvd-L,B-L,ASL_2008_05_12a_scene14-camera1.mov,Lexical Signs,ARTICLE
1118,ASSAULT,ASSAULT,ASSAULT,1620,1739,1670,1689,S,1,S,1,ASL_2008_02_15_scene52-camera1.mov,Lexical Signs,ASSAULT
1119,ASSAULT,ASSAULT,ASSAULT,1504,1618,1554,1568,S,1,S,1,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,ASSAULT
1133,ATTEMPT,ATTEMPT,ATTEMPT,730,855,780,805,A,A,A,A,ASL_2008_01_11_scene24-camera1.mov,Lexical Signs,ATTEMPT
1134,ATTEMPT,ATTEMPT,ATTEMPT,935,1068,985,1018,A,A,A,A,ASL_2008_08_04_scene16-camera1.mov,Lexical Signs,ATTEMPT
1135,ATTEMPT,ATTEMPT,ATTEMPT,1933,2061,1983,2011,A,A,A,A,ASL_2011_07_22_Brady_scene12-camera1.mov,Lexical Signs,ATTEMPT
1145,AUDIENCE,AUDIENCE,AUDIENCE,3567,3706,3617,3656,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2008_05_12a_scene16-camera1.mov,Lexical Signs,AUDIENCE
1146,AUDIENCE,AUDIENCE,AUDIENCE,2,97,17,47,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene14-camera1.mov,Lexical Signs,AUDIENCE
39415,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,924,1089,974,1039,A,,B-L,B-L,ASL_2008_01_11_scene25-camera1.mov,Compound Signs,AUDIOLOGY+AGENT
39416,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,3851,4005,3901,3955,A,,B-L,B-L,ASL_2008_05_12a_scene16-camera1.mov,Compound Signs,AUDIOLOGY+AGENT
39417,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,4595,4755,4645,4705,A,,B-L,B-L,ASL_2008_08_04_scene16-camera1.mov,Compound Signs,AUDIOLOGY+AGENT
39418,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,AUDIOLOGY+AGENT,3352,3489,3402,3439,A,,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,AUDIOLOGY+AGENT
1159,AUTUMN,AUTUMN,AUTUMN,1320,1455,1370,1405,B,A,B,A,ASL_2008_01_11_scene26-camera1.mov,Lexical Signs,AUTUMN
1160,AUTUMN,AUTUMN,AUTUMN,2435,2590,2485,2540,B,B,B,B,ASL_2008_05_12a_scene17-camera1.mov,Lexical Signs,AUTUMN
1161,AUTUMN,AUTUMN,AUTUMN,1943,2083,1993,2033,B,psv,B,psv,ASL_2008_08_04_scene17-camera1.mov,Lexical Signs,AUTUMN
1162,AUTUMN,AUTUMN,AUTUMN,2650,2775,2700,2725,B-xd,S,B-xd,S,ASL_2011_06_08_Brady_scene14-camera1.mov,Lexical Signs,AUTUMN
1163,AUTUMN,AUTUMN,AUTUMN,115,255,165,205,B,S,B,S,ASL_2011_07_22_Brady_scene38-camera1.mov,Lexical Signs,AUTUMN
1167,AVERAGE,AVERAGE,AVERAGE,2325,2443,2375,2393,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene17-camera1.mov,Lexical Signs,AVERAGE
1168,AVERAGE,AVERAGE,AVERAGE,1790,1935,1840,1885,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene27-camera1.mov,Lexical Signs,AVERAGE
1169,AVERAGE,AVERAGE,AVERAGE,9225,9360,9275,9310,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs,AVERAGE
1171,AVERAGE,AVERAGE/RANGE,AVERAGE/RANGE,2830,3000,2880,2950,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene17-camera1.mov,Lexical Signs,AVERAGE
1166,AVERAGE,MEDIUM,MEDIUM,775,945,825,895,B-L,B-L,B-L,B-L,ASL_2008_02_15_scene2-camera1.mov,Lexical Signs,AVERAGE
1170,AVERAGE,MEDIUM,MEDIUM,7129,7277,7179,7227,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene55-camera1.mov,Lexical Signs,AVERAGE
1180,AWKWARD,AWKWARD,AWKWARD,1065,1230,1115,1180,3,3,3,3,ASL_2008_01_11_scene27-camera1.mov,Lexical Signs,AWKWARD
1181,AWKWARD,AWKWARD,AWKWARD,260,402,310,352,3,3,3,3,ASL_2008_05_12a_scene18-camera1.mov,Lexical Signs,AWKWARD
1182,AWKWARD,AWKWARD,AWKWARD,193,333,243,283,3,3,3,3,ASL_2008_08_04_scene18-camera1.mov,Lexical Signs,AWKWARD
1183,AWKWARD,AWKWARD,AWKWARD,4266,4406,4316,4356,3,3,3,3,ASL_2011_06_08_Brady_scene14-camera1.mov,Lexical Signs,AWKWARD
1184,AWKWARD,AWKWARD,AWKWARD,976,1139,1026,1089,3,3,3,3,ASL_2006_10_10_scene3-camera1.mov,Lexical Signs,AWKWARD
1185,AWKWARD,AWKWARD,AWKWARD,956,1119,1006,1069,3,3,3,3,ASL_2007_05_24_scene7-camera1.mov,Lexical Signs,AWKWARD
1198,BACK,BACK,BACK,1800,1940,1850,1890,10,,10,,ASL_2007_05_24_scene7-camera1.mov,Lexical Signs,BACK
1218,BAKE/OVEN,BAKE/OVEN,BAKE/OVEN,531,670,581,620,crvd-flat-B,B-L,crvd-flat-B,B-L,ASL_2008_01_11_scene30-camera1.mov,Lexical Signs,BAKE/OVEN
1219,BAKE/OVEN,BAKE/OVEN,BAKE/OVEN,4010,4125,4060,4075,B-L,bent-B-L,B-L,bent-B-L,ASL_2008_05_12a_scene19-camera1.mov,Lexical Signs,BAKE/OVEN
1220,BAKE/OVEN,BAKE/OVEN,BAKE/OVEN,2353,2483,2403,2433,crvd-flat-B,B-L,crvd-flat-B,B-L,ASL_2008_08_04_scene19-camera1.mov,Lexical Signs,BAKE/OVEN
1221,BAKE/OVEN,BAKE/OVEN,BAKE/OVEN,6443,6563,6493,6513,B-L,bent-B-L,B-L,bent-B-L,ASL_2011_06_08_Brady_scene15-camera1.mov,Lexical Signs,BAKE/OVEN
156,BAKING-SPRINKLES,(1h)BAKING-SPRINKLES,(1h)BAKING-SPRINKLES,1981,2127,2031,2077,O,,O,,ASL_2011_07_19_Brady_scene94-camera1.mov,Lexical Signs,BAKING-SPRINKLES
1222,BAKING-SPRINKLES,BAKING-SPRINKLES,BAKING-SPRINKLES,268,415,318,365,fanned-flat-O,psv,fanned-flat-O,psv,ASL_2008_02_29_scene42-camera1.mov,Lexical Signs,BAKING-SPRINKLES
1223,BALANCE,BALANCE,BALANCE+,765,935,815,885,B-L,B-L,B-L,B-L,ASL_2008_01_11_scene30-camera1.mov,Lexical Signs,BALANCE
1224,BALANCE,BALANCE,BALANCE+,4316,4495,4366,4445,B-L,B-L,B-L,B-L,ASL_2008_05_12a_scene19-camera1.mov,Lexical Signs,BALANCE
1225,BALANCE,BALANCE,BALANCE+,2667,2820,2717,2770,B-L,B-L,B-L,B-L,ASL_2008_08_04_scene19-camera1.mov,Lexical Signs,BALANCE
